image,actual_formula,predicted_formula,bleu_score,chrf2_score
MfrDB0077.png,$ e _ { + 3 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
UN_112_em_270.png,$ { { \mbox { m } - \gamma } \neq { \mbox { b } - p } } $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,4.351884172769727
MfrDB3510.png,$ \mbox { i z u } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,5.792165873406642
2009213-139-185.png,"$ c ( x , y ) = h ( x - y ) $",\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
MfrDB3040.png,$ a + b + c + d + e $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.2077294685990336
2009212-1031-70.png,"$ e _ { ( 1 , 0 ) } = \frac { y _ 2 - y _ 1 } { x _ 2 - x _ 1 } $",\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.505050505050505
TrainData2_5_sub_17.png,$ \frac { f ( 1 + \cos \theta ) } { 2 \sin \theta } = \frac { f \sin \theta } { 2 ( 1 - \cos \theta ) } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.7886435331230284
MfrDB1613.png,$ \left ( \sin \left ( x \right ) ^ 2 + 3 \cos \left ( x \right ) ^ 2 \right ) ^ 4 $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,9.938198738529197
formulaire036-equation056.png,$ \frac 1 a f ( a x + b ) + c $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.8591065292096219
116_em_178.png,$ \int \limits _ { 0 } ^ { 2 \pi } \frac { \sin ( x ) } { x } d x $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,2.1150592216582065
formulaire032-equation018.png,$ 9 3 + 6 2 + 7 9 \neq - 1 2 6 $,\int \rightarrow \geq 3 \bigg 1 $ $ b b \phi \ ; ] 9 9 9 9 9 9,0.0,8.004134298493408
formulaire015-equation060.png,$ \frac { 1 } { \frac { 1 } { 2 } \big ( \frac { 1 } { a } + \frac { 1 } { b } \big ) } = \frac { 2 a b } { a + b } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.7987220447284344
TrainData2_8_sub_41.png,"$ h ( x , y ) = { x ^ { y + \frac { 1 } { y } } } $",\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.608272506082725
2009213-137-52.png,$ 3 x + 5 = 1 5 $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
TrainData2_24_sub_88.png,$ e ^ { \int x ^ 2 d x } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,2.941176470588235
formulaire042-equation046.png,$ \pi - e $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,3.1446540880503138
formulaire008-equation000.png,$ e ^ { a ( - 1 + 2 w ) } = w ^ { \frac { 3 \sqrt { 3 } a } { \pi } } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.3227513227513228
2009220-1327-62.png,"$ f _ 2 ( s ) = h ( s , 1 - s , 0 ) $",\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
MfrDB3100.png,$ \frac { 5 6 \div 7 } { 6 3 \div 7 } = \frac { 8 } { 9 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,5.92833565209531
formulaire029-equation064.png,$ f ( z ) = ( 1 + z ^ 2 ) ^ { - 1 } $,\int \rightarrow \geq 3 \bigg 1 $ $ b b \phi \ ; ] 9 9 9 9 9 9,0.0,2.1008403361344534
UN_133_em_1121.png,$ m n = n m $,\int \int \rightarrow \geq 3 \bigg \bigg 1 $ $ b b \phi \ ; ] 9 9 9 9,0.0,4.2735042735042725
RIT_2014_129.png,$ f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 ) $,\int \rightarrow \geq 3 \bigg 1 $ $ b b \phi \ ; ] 9 9 9 9 9 9,0.0,4.415011037527593
506_em_65.png,$ \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.8818342151675485
formulaire031-equation023.png,$ \cos \frac { ( a _ { 0 } - a _ { 1 } ) \pi } { 2 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.6339869281045754
UN_112_em_278.png,$ \lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,9.118063002018463
UN_115_em_314.png,$ a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i ) $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.2626262626262625
200924-1331-274.png,$ 5 3 7 $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
UN_124_em_523.png,$ a ^ x a ^ y = a ^ { x + y } $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.771604938271605
formulaire007-equation054.png,$ ( a b ) $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
formulaire021-equation039.png,$ x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } } $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,5.105823863636363
RIT_2014_253.png,$ a ^ { b ^ { c ^ d } } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.0822510822510825
formulaire037-equation041.png,$ c = \frac { w } { 2 } - \frac { w ^ 2 } { 4 } $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,3.125
KME1G3_3_sub_10.png,$ ( - a ) ^ n = a ^ n $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
200925-1126-148.png,$ w = q _ h - q _ c $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.893939393939394
18_em_19.png,$ \lim _ { t \rightarrow 0 } \frac { \cos ( \frac x 2 - t ) } { - 2 t } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.5082956259426845
128_em_541.png,$ t ( z ) = \frac { h _ 3 h _ 1 } { h _ 3 h _ 0 - h _ 2 h _ 1 } + \frac { h _ 3 ^ 2 } { h _ 3 h _ 0 - h _ 2 h _ 1 } z ^ { - 1 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.5537098560354373
200923-1556-257.png,$ { 3 ^ { 2 } } - 1 = 8 $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
MfrDB3114.png,$ \mbox { x e } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,3.7181256572029446
200923-1251-71.png,$ e ^ \phi + \frac 2 { \phi ^ 3 } - 3 \phi $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.773049645390071
formulaire046-equation060.png,$ \frac { 2 \pm \sqrt { 2 } } { 4 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,2.066115702479339
MfrDB3042.png,$ | b - \beta | $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.2077294685990336
formulaire010-equation012.png,$ \theta = \frac { 2 k \pi } { q } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,2.066115702479339
TrainData2_24_sub_43.png,$ b = a - \frac { \sin ^ 2 \theta _ 1 } { \cos ^ 2 \theta _ 1 } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.2690355329949237
formulaire037-equation032.png,$ h ( s ) = \frac { 1 } { 1 + s t } $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.7645259938837918
101_david.png,$ ( \mu + 1 ) $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,8.716994190628476
107_user0.png,$ x _ 0 ^ 3 $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.0
formulaire014-equation073.png,$ \sqrt { { x ^ { 2 } } } = | x | $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.7936507936507936
formulaire015-equation068.png,$ s = \frac { 1 } { 2 } + i t $,\mu \div ] 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.7182130584192439
MfrDB2829.png,$ [ a ( a + b ) c d c ( a + b ) a ] $,\mu \div \sqrt \sqrt \sqrt \left \tan 9 9 9 9 9 9 9 9 9 9 9 9 9,0.0,1.388888888888889
