image,actual_formula,predicted_formula,bleu_score,chrf2_score
d4996afbdf.png,"\alpha ( \gamma , \mu ) \alpha ( \gamma \mu , \rho ) = \alpha ( \gamma , \mu \rho ) \alpha ( \mu , \rho ) ,","\alpha ( \beta ( \beta , \beta ) \beta ( \beta , \beta ) = \beta ( \beta , \beta ) ,",13.136308949996616,18.112855360906885
383c0ed740.png,u ^ { a b } = \delta ^ { a b } 2 \rho ^ { 2 } s _ { \mathrm { c l } } \ .,"u ^ { a b } = \delta ^ { a b } \delta _ { b b } ^ { 2 } \ , ,",51.30574893750608,46.713321876900196
161173a07d.png,"t _ { \delta , \vec { k } } = \sum _ { n } { \cal n } _ { \delta , \vec { k } ; n } \theta _ { n } + { \mathrm { o } } _ { 2 } ( \theta )","t _ { i { { { i } } = \sum _ { i , n } { } _ { i } } { { } } _ { n } } ( { \omega } _ { n } ( { ) + o ( \omega )",29.86306422075142,21.799162341382548
3ff58cb4aa.png,"\nabla _ { \mu } ( p f ^ { \mu \nu } + q \tilde { f } ^ { \mu \nu } ) = 0 ,","\nabla _ { \mu } \left ( p ^ { \mu \nu } + f ^ { \mu \nu } \right ) ,",57.66878860313547,57.576380425205286
29845105b6.png,f ~ = ~ \left ( 1 + \frac { a ^ { 2 } \operatorname { s i n h } ^ { 2 } \alpha } { \bar { r } ^ { 2 } } \right ) ~ \left ( 1 + \frac { a ^ { 2 } \operatorname { s i n h } ^ { 2 } \gamma } { \bar { r } ^ { 2 } } \right ) ~ \left ( 1 + \frac { a ^ { 2 } \operatorname { s i n h } ^ { 2 } \sigma } { \bar { r } ^ { 2 } } \right ),"f = - \left ( \operatorname { l n } \left ( \frac { \dot { r } ^ { 2 } } { r ^ { 2 } } + { \frac { r ^ { 2 } } { r ^ { 2 } } } \right ) ^ { 2 } + { \frac { s i n } ^ { 2 } } { r ^ { 2 } } } + { \frac { r ^ { 2 } } { r ^ { 2 } } } \right ) ^ { 2 } + \operatorname { s i n } ^ { 2 } \theta } { r } } \right ) ^ { 2 } } } \right ) \ , .",40.78642603565241,45.79061192661
6b5a4d7e6f.png,"v ( \gamma _ { \ ! k } ) = v ( k e r ( t _ { k } ) ) { \cdot } v ( k e r ( t _ { k } ) ^ { \perp } ) \ , .",v ( k _ { k } ) = ( ( k _ { k } ) ( e ( k ) ) ( t r ( t _ { k } ) ) ),31.67053148332593,25.531633983720205
5bc2650b57.png,a ^ { 4 } v ^ { 3 } z - 2 a ^ { 2 } ( \lambda - k ) v ( v z - 1 ) + a ^ { 2 } ( v z - 1 ) ^ { 2 } = 0,a ^ { 2 } u u ^ { 2 } u u ^ { 2 } u ( u ) ^ { 2 } + u ( u ) ^ { 2 } + u ( u - 1 ) ^ { 2 } u ^ { 2 } ) = 0,26.51185285684513,22.189815015852695
61c27505f8.png,"\operatorname { e x p } _ { \star } ( i t h / \hbar ) = \left ( \operatorname { c o s } ( \frac { t } { 2 } ) \right ) ^ { - 1 } \operatorname { e x p } \left ( \frac { 2 i } { \hbar } h \operatorname { t a n } ( \frac { t } { 2 } ) \right ) ,","\operatorname * { e x p } \left ( i f _ { f } ( t ) \right ) = \operatorname { e x p } \left ( - \frac { 1 } { 2 } \right ) ^ { 2 } } { { } { 2 } } { 2 } } \operatorname { l n } \left ( { \frac { 1 } { 2 } } \right ) \ , ,",37.73189890156432,49.667810667981335
63bca57d9c.png,"h _ { \sigma } ( p , k ) = p _ { \sigma } k \cdot a ( p ) - k \cdot p a _ { \sigma } ( p )",h _ { p } ( p ) : = a _ { p } ( k ) + { p } ( p ) e ^ { - i p } ( k ),16.979879781174656,14.103698185242314
1b2daea7a9.png,"p = p _ { k } + p _ { k - 1 } + \cdots + p _ { 1 } + p _ { 0 } , \ ; \ ; d = d _ { 1 } + d _ { 0 } ,","p = r _ { p } + r _ { 1 } + p _ { 1 } + p _ { 1 } + i _ { 2 } + p _ { 1 } , , \ , \ , \ , p _ { 1 } + . . .",38.26950218067099,32.872926708223304
449042fdc0.png,c y _ { \cal c } ( w ) = n ^ { \frac { \chi ( w ) } { 2 } } y ^ { \sigma ( w ) } .,"g v _ { w } ( w ) = w ^ { \frac { ( w ^ { \prime } ) } { w ^ { 2 } } } } ,",33.09876370121478,28.83356126102297
50330a3bca.png,"\gamma ^ { 6 , 2 2 } = \gamma _ { 1 } ^ { 1 , 9 } \oplus \gamma _ { 2 } ^ { 1 , 9 } \oplus \gamma _ { 1 } ^ { 1 , 1 } \oplus \gamma _ { 2 } ^ { 1 , 1 } \oplus \gamma ^ { 2 , 2 } ,","\gamma ^ { 2 \alpha } = 2 ^ { 1 , 2 } } _ { 1 , 2 } ^ { 1 } } _ { 1 , 2 } ^ { 1 } } \ , { 1 } ^ { 1 } } ^ { 1 , 2 } \ , 2 } ^ { 1 } } ^ { 1 , 2 } ^ { 1 } } \ , { 1 } ^ { 1 , 2 } \ , ,",34.961811116681005,26.977028706582473
72186a30f3.png,"\gamma ^ { [ a _ { n } . . . a _ { 1 } ] } \gamma ^ { [ b _ { 1 } . . . b _ { m } ] } \gamma ^ { [ a _ { 1 } . . . a _ { n } ] } = c _ { n , m } \gamma ^ { [ b _ { 1 } . . . b _ { m } ] }","\gamma ^ { [ n _ { 1 } , n _ { 1 } , n _ { 1 } , n _ { 2 } , n _ { 1 } , n _ { 2 } ] } { { n _ { n } } , { _ { n } ^ { \prime } ] } = c _ { n } { 0 } } { n _ { 1 } } , { n _ { 1 } } ^ { n _ { 1 } } . . . . . . . . _ { n } } .",29.48930772274756,28.598566261935854
331f65256b.png,"g ^ { i _ { 0 } } \rightarrow g ^ { i _ { 0 } } \ ; , \ ; g ^ { i _ { 1 } } \rightarrow \lambda g ^ { i _ { 1 } } \quad , \quad i _ { 0 } \ ; ( i _ { 1 } ) = 1 , \ldots , \textrm { d i m } \ , v _ { 0 } \ ; ( \textrm { d i m } \ , v _ { 1 } ) \ , .","g ^ { i } } \rightarrow { { { } _ { 1 } , i _ { 2 } , i ^ { i } , \quad ( { i } , { ^ { i } , { ^ { i } , } , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \delta _ { i } )",9.560498196045456,19.572833121559587
27d75cdbed.png,\varphi ( \theta ) \rightarrow \varphi ^ { \prime } ( \theta ) = \varphi ( \theta ) - 2 \pi \delta ( \theta ),\phi ( \theta ) \rightarrow \varphi ^ { \prime } ( \theta ) = \theta ( \theta ) = \pi ^ { \prime } ( \theta ),63.768971004429396,73.72607011478586
387626ec8d.png,u ( \vec { x } ) = e ^ { \mathrm { i } f ( r ) \hat { n } _ { \mathrm { r ( z ) } } \cdot \vec { \tau } },u ( \vec { x } ) = e ^ { i } ( \tau ) { \prime } ) e ^ { i { \cal } } _ { k } } ( \tau ),36.63162360771997,30.87322610343871
33c7a203f4.png,"\phi ^ { a } ( x ) = \phi _ { l } ^ { a } ( x ) ( 1 - | \phi _ { h } ^ { a } | ^ { 2 } ) ^ { \frac { 1 } { 2 } } + \phi _ { i , h } ( x ) e _ { i } ^ { a } ( x )","\phi ^ { a } ( x ) = \phi ^ { a } ( x ) \phi _ { a } ^ { a } ( x ) - \phi _ { a } ^ { a } ( x ) - \frac { 1 } { 2 } \phi ^ { a } ( x ) \phi _ { a } ^ { a } ( x ) ) \ , .",55.057476738595135,54.819401384353185
1a70e782f0.png,"+ g ^ { 5 } x ^ { 2 } { \frac { b _ { 4 } ( q ^ { 2 } , q ^ { 2 } ) } { \epsilon } } + g ^ { 7 } b _ { 5 } ( q ^ { 2 } , q ^ { 2 } ) + . . .","- q ^ { 2 } q ^ { 2 } ( q _ { 2 } ) ^ { 2 } } { { q } { 2 } } q ^ { 2 } + q ^ { 2 } ) ^ { 2 } } { { } } { { } } ,",33.895886470716064,25.56572115720416
45d8d51056.png,{ \cal w } \propto \lambda ^ { 3 } \big ( x - { \frac { x ^ { n + 1 } } { n + 1 } } \big ) ~ .,{ \cal w } ^ { + } } \left ( x ^ { n } - x ^ { n } \right ) ^ { n - 1 } { n } },24.91212508400077,22.25418802484066
5da3ccc1f7.png,"\left ( r ^ { 2 } - r _ { h } ^ { 2 } \right ) \partial _ { r } ^ { 2 } r ( r ) + \frac { 1 } { r } \left ( 3 r ^ { 2 } - r _ { h } ^ { 2 } \right ) \partial _ { r } r ( r ) + \frac { \omega ^ { 2 } x _ { + } ^ { 4 } } { ( r ^ { 2 } - r _ { h } ^ { 2 } ) } r ( r ) = 0 ,","( r ^ { 2 } - \partial _ { a } ^ { 2 } ) ^ { 2 } + ( r _ { a } ( r ) { \frac { \partial ^ { 2 } } { r ^ { 2 } } } ( r ^ { 2 } + \frac { r ^ { 2 } } { r ^ { 2 } } } ( r _ { a } ( r ) + \frac { r ^ { 2 } } { r ^ { 2 } } } ( r _ { r } ^ { 2 } ) ) ,",43.204793274612726,39.58999977509454
3f170c550a.png,z ( j ) \sim \operatorname { e x p } \left [ - \frac { g ^ { 2 } } { 2 } \int d ^ { 4 } x d ^ { 4 } y j _ { \mu } ( x ) d _ { \mu \nu } ( x - y ) j _ { \nu } ( y ) \right ],"z ( x ) \sim \operatorname { e x p } [ \frac { i } { 2 } \int d ^ { 2 } x d ^ { 2 } x ( y ) { \mu } ( x ) y _ { \mu } ( y ) ] _ { \mu } ( x ) y ) ] \ } _ { \mu } ( x ) \ ,",49.42449117207735,51.414523256875825
50f5d99438.png,p = \left ( \begin { a r r a y } { l } { g ^ { \lambda } } \ \ { e _ { \lambda } } \ \ \end { a r r a y } \right ),p = \left ( \begin { a r r a y } { c c } { a _ { 0 } ^ { a } } & { 0 } \ \ { 0 } & { 0 } \ \ \end { a r r a y } \right ),58.451916767844025,61.18935707132862
34d7b48aad.png,a _ { \mu } = \epsilon _ { \mu \nu } \partial _ { \nu } \phi + \partial _ { \mu } \eta,a _ { \mu } = \partial _ { \mu } a _ { \mu } + \partial _ { \mu } a _ { \mu } .,56.19415088514611,53.820710727432875
66cf39335c.png,e _ { c r } = { \frac { 1 1 } { 1 0 8 } } \lambda v ^ { 4 },e _ { \lambda \lambda } = \frac { 1 } { 6 } v ^ { 6 } v ^ { 0 } .,22.50265947708922,38.4154820022341
147e065e0b.png,"< \partial _ { \mu } \ , j _ { r } ^ { \mu } \ , > \ , \ , = \ , \ , < \partial _ { + } \ , j _ { - } ^ { f } \ , > \ , = \ , - { \frac { 1 } { 2 \pi } } < \partial _ { - } a _ { + } \ , - \ , \partial _ { + } a _ { - } >","< \partial _ { \mu } ^ { i } \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \frac { 1 } { 2 } \sum _ { i } \lambda _ { i } \ , { _ { - } } \ , { _ { - } \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \ , \",15.333593313989468,26.12963061946133
1645b8f405.png,- x _ { i } t _ { i j } \frac { \partial ^ { 2 } \psi } { \partial x _ { i } \partial t _ { i j } } = \sigma _ { i j },- i _ { i } \partial _ { i } \frac { \partial x _ { i } } { \partial x _ { i } } } { \partial x _ { i } } = t _ { i } },50.44499537067701,56.771298678167796
28f3bc5267.png,"\bar { \cal h } _ { d } ^ { ( n ) } = \mathrm { d i a g } ( - \frac { d ^ { 2 } } { d x ^ { 2 } } + \sigma _ { l } ^ { 2 } - \frac { 2 \sigma _ { n } ^ { 2 } } { \operatorname { c o s h } ^ { 2 } \sigma _ { n } x } ) , \ \ \ \ l = \hat { 1 } , 2 , 3 , \ldots , \hat { n } , \ldots , n ,","\tilde { \cal h } _ { i } ^ { ( } ( x ) = - { { { { 2 } } { 2 } } { 2 } } { { 2 } } { { 2 } } { { 2 } } { { 2 } } { { 2 } } { { 2 } } { { 2 } } { { 2 } } { { } } { { } } { { } } { { } } { { } } { { } } } { { } } } _ { 0 } ^ { 2 } } , , ,",20.71773043079531,15.604199069039984
